t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
0.000000,0.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,18.602396698,17.519142079,-4.294865311,0.000000000,0.000000000,true,0,0
0.010000,0.000003072,0.000002893,1.999999292,0.000918812,0.000865062,-0.000211812,0.182635478,0.171926563,-0.042070399,17.926197475,16.867624787,-4.119616761,0.000000000,0.000000000,true,0,0
0.020000,0.000024352,0.000022924,1.999994391,0.003630319,0.003416959,-0.000835607,0.358553922,0.337381580,-0.082400380,17.258989968,16.224832834,-3.946781701,0.000000000,0.000000000,true,0,0
0.030000,0.000081432,0.000076640,1.999981264,0.008067800,0.007591413,-0.001854099,0.527845250,0.496452304,-0.121014078,16.600774179,15.590766221,-3.776360131,0.000000000,0.000000000,true,0,0
0.040000,0.000191242,0.000179949,1.999956050,0.014165434,0.013325015,-0.003250248,0.690599378,0.649225989,-0.157935628,15.951550107,14.965424948,-3.608352051,0.000000000,0.000000000,true,0,0
0.050000,0.000370058,0.000348129,1.999915056,0.021858297,0.020555233,-0.005007252,0.846906224,0.795789888,-0.193189164,15.311317753,14.348809013,-3.442757460,0.000000000,0.000000000,true,0,0
0.060000,0.000633511,0.000595837,1.999854757,0.031082367,0.029220405,-0.007108551,0.996855705,0.936231254,-0.226798822,14.680077115,13.740918418,-3.279576359,0.000000000,0.000000000,true,0,0
0.070000,0.000996599,0.000937118,1.999771792,0.041774520,0.039259741,-0.009537829,1.140537739,1.070637341,-0.258788736,14.057828195,13.141753163,-3.118808748,0.000000000,0.000000000,true,0,0
0.080000,0.001473688,0.001385413,1.999662961,0.053872530,0.050613325,-0.012279007,1.278042242,1.199095402,-0.289183042,13.444570992,12.551313247,-2.960454627,0.000000000,0.000000000,true,0,0
0.090000,0.002078531,0.001953568,1.999525225,0.067315072,0.063222113,-0.015316251,1.409459131,1.321692690,-0.318005874,12.840305507,11.969598670,-2.804513996,0.000000000,0.000000000,true,0,0
0.100000,0.002824270,0.002653845,1.999355701,0.082041720,0.077027934,-0.018633967,1.534878324,1.438516459,-0.345281367,12.245031738,11.396609433,-2.650986854,0.000000000,0.000000000,true,0,0
0.110000,0.003723447,0.003497926,1.999151662,0.097992946,0.091973488,-0.022216801,1.654389738,1.549653963,-0.371033656,11.658749687,10.832345535,-2.499873202,0.000000000,0.000000000,true,0,0
0.120000,0.004788015,0.004496925,1.998910532,0.115110122,0.108002349,-0.026049643,1.768083290,1.655192455,-0.395286876,11.081459353,10.276806976,-2.351173040,0.000000000,0.000000000,true,0,0
0.130000,0.006029343,0.005661399,1.998629885,0.133335519,0.125058964,-0.030117623,1.876048898,1.755219187,-0.418065162,10.513160736,9.729993757,-2.204886368,0.000000000,0.000000000,true,0,0
0.140000,0.007458230,0.007001348,1.998307444,0.152612307,0.143088651,-0.034406111,1.978376477,1.849821414,-0.439392648,9.953853837,9.191905877,-2.061013186,0.000000000,0.000000000,true,0,0
0.150000,0.009084908,0.008526236,1.997941076,0.172884555,0.162037602,-0.038900720,2.075155947,1.939086389,-0.459293470,9.403538654,8.662543337,-1.919553493,0.000000000,0.000000000,true,0,0
0.160000,0.010919056,0.010244988,1.997528790,0.194097232,0.181852879,-0.043587305,2.166477223,2.023101365,-0.477791763,8.862215189,8.141906136,-1.780507290,0.000000000,0.000000000,true,0,0
0.170000,0.012969807,0.012166007,1.997068736,0.216196205,0.202482420,-0.048451961,2.252430223,2.101953596,-0.494911661,8.329883441,7.629994274,-1.643874577,0.000000000,0.000000000,true,0,0
0.180000,0.015245756,0.014297180,1.996559203,0.239128242,0.223875033,-0.053481024,2.333104864,2.175730335,-0.510677299,7.806543411,7.126807752,-1.509655354,0.000000000,0.000000000,true,0,0
0.190000,0.017754974,0.016645884,1.995998612,0.262841008,0.245980399,-0.058661073,2.408591064,2.244518836,-0.525112813,7.292195097,6.632346569,-1.377849620,0.000000000,0.000000000,true,0,0
0.200000,0.020505008,0.019218999,1.995385522,0.287283068,0.268749073,-0.063978927,2.478978738,2.308406351,-0.538242337,6.786838501,6.146610726,-1.248457377,0.000000000,0.000000000,true,0,0
0.210000,0.023502897,0.022022914,1.994718618,0.312403887,0.292132480,-0.069421647,2.544357806,2.367480135,-0.550090006,6.290473622,5.669600222,-1.121478623,0.000000000,0.000000000,true,0,0
0.220000,0.026755182,0.025063538,1.993996715,0.338153828,0.316082921,-0.074976535,2.604818183,2.421827440,-0.560679954,5.803100461,5.201315057,-0.996913358,0.000000000,0.000000000,true,0,0
0.230000,0.030267909,0.028346307,1.993218755,0.364484155,0.340553565,-0.080631134,2.660449788,2.471535520,-0.570036318,5.324719016,4.741755232,-0.874761584,0.000000000,0.000000000,true,0,0
0.240000,0.034046640,0.031876190,1.992383801,0.391347028,0.365498458,-0.086373229,2.711342536,2.516691629,-0.578183231,4.855329289,4.290920746,-0.755023300,0.000000000,0.000000000,true,0,0
0.250000,0.038096468,0.035657706,1.991491038,0.418695509,0.390872515,-0.092190847,2.757586346,2.557383020,-0.585144829,4.394931279,3.848811600,-0.637698505,0.000000000,0.000000000,true,0,0
0.260000,0.042422016,0.039694924,1.990539771,0.446483558,0.416631527,-0.098072255,2.799271134,2.593696946,-0.590945246,3.943524986,3.415427793,-0.522787200,0.000000000,0.000000000,true,0,0
0.270000,0.047027454,0.043991475,1.989529419,0.474666035,0.442732154,-0.104005962,2.836486818,2.625720660,-0.595608618,3.501110411,2.990769325,-0.410289385,0.000000000,0.000000000,true,0,0
0.280000,0.051916504,0.048550564,1.988459515,0.503198697,0.469131930,-0.109980718,2.869323315,2.653541417,-0.599159079,3.067687552,2.574836197,-0.300205059,0.000000000,0.000000000,true,0,0
0.290000,0.057092450,0.053374972,1.987329704,0.532038203,0.495789263,-0.115985514,2.897870541,2.677246469,-0.601620764,2.643256411,2.167628408,-0.192534223,0.000000000,0.000000000,true,0,0
0.300000,0.062558149,0.058467072,1.986139741,0.561142110,0.522663431,-0.122009584,2.922218415,2.696923069,-0.603017808,2.227816987,1.769145959,-0.087276878,0.000000000,0.000000000,true,0,0
0.310000,0.068316035,0.063828831,1.984889484,0.590468874,0.549714587,-0.128042402,2.942456853,2.712658472,-0.603374346,1.821369281,1.379388849,0.015566978,0.000000000,0.000000000,true,0,0
